ElevatingDevicesNumber,Latest_INSPECTION_Date,outcome_class,prior_pass_count,prior_followup_count,prior_fail_count,days_since_last_inspection,rolling_pass_rate,prior_order_count,prior_mean_riskscore,alteration_count,device_type_Freight Elevator,device_type_LULA Elevator,device_type_Observation Elevator,device_type_Other,device_type_Passenger Elevator,device_type_nan,prior_outcome_Fail,prior_outcome_Follow Up,prior_outcome_Other,prior_outcome_Pass,prior_outcome_nan
9948,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28588,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76833,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28590,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28589,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76831,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28591,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76830,2011-01-14,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28587,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
35119,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
61225,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
35188,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,True,False,False,False,False,False,False,False,False,False,True
23921,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
15397,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
2110,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,True,False,False,False,False,False,False,False,False,False,True
82048,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
82788,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
82618,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
74840,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
74841,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
23922,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
83565,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
76834,2011-01-14,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76828,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76826,2011-01-14,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76832,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
23920,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76835,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
88099,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
76829,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76836,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
82787,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76827,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
81465,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
8041,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
4159,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,True,False,False,False,False,False,False,False,False,False,True
28395,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28394,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28323,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
69241,2011-01-10,Pass,0,1,0,3.0,0.0,0,15.0,0,False,False,False,False,True,False,False,True,False,False,False
79479,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
1574,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,True,False,False,False,False,False,False,False,False,False,True
63352,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,False,True,False,False,False,False,True
74848,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
63353,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,False,True,False,False,False,False,True
80536,2011-01-10,Other,0,1,0,4.0,0.0,0,15.0,1,False,False,False,False,True,False,False,True,False,False,False
64493095,2011-01-10,Follow Up,0,1,0,3.0,0.0,0,15.0,0,False,False,False,False,True,False,False,True,False,False,False
85280,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
85281,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
82049,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
85488,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
85489,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
32505,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
32505,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
32506,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
85490,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
30874,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
30875,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
35705,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
27669,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
27613,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
9949,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
17878,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
21796,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
80948,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
32506,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
87533,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
87534,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
73823,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
9388,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
87370,2011-01-10,Fail,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
21226,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
67924,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
67925,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
36696,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
67926,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
32430,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
67927,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
36695,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
64037,2011-01-10,Follow Up,0,1,0,3.0,0.0,0,15.0,0,False,False,False,False,True,False,False,True,False,False,False
36342,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
31698,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
22203,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
64499533,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
22202,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
69822,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
66534,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
36753,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
36754,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
60697,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
65411,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
65410,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
17762,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
32526,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
17764,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,True,False,False,False,False,False,False,False,False,False,True
64490873,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
30382,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
35917,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
35918,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
60696,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
64499534,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
32211,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
17526,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
73824,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
76015,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
5775,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,True,False,False,False,False,False,False,False,False,False,True
16918,2011-01-10,Pass,0,1,0,3.0,0.0,0,15.0,0,False,False,False,False,True,False,False,True,False,False,False
16493,2011-01-10,Pass,0,1,0,4.0,0.0,0,15.0,2,False,False,False,False,True,False,False,True,False,False,False
19609,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
38580,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
38581,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
28704,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
28703,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
38579,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
13846,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
4732,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
13845,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
18842,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
17604,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,6,True,False,False,False,False,False,False,False,False,False,True
85782,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
17703,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
