ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
10,111 WELLESLEY ST W  TORONTO M7A 1A2 ON CA,EDLIC-000010,ACTIVE,28-Apr-17,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,data redacted,99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO ON M7A 1A2 CA,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,"99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO, ON, M7A 1A2, CA",data redacted
100,1804 HIGHWAY 2 E  BROCKVILLE K6V 5T1 ON CA,170719,BY REQUEST,12-Dec-14,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"333 PRESTON ST 7TH FLR PRESTON SQUARE TOWER 1 OTTAWA, ON, K1S 5N4, CA",data redacted
10047,162 PEMBROKE ST W  PEMBROKE K8A 5M8 ON CA,EDLIC-010047,BY REQUEST,15-Mar-08,PROFAC MANAGEMENT GROUP LTD,data redacted,304 THE EAST MALL P.O. # 653058-Y3-20610 TORONTO ON M9B 6E2 CA,PROFAC MANAGEMENT GROUP LTD,"304 THE EAST MALL P.O. # 653058-Y3-20610 TORONTO, ON, M9B 6E2, CA",data redacted
10054,541 SUSSEX DR  OTTAWA K1N 6Z6 ON CA,EDLIC-010054,BY REQUEST,01-Oct-05,DEPARTMENT OF PUBLIC WORKS & GOVERNMENT SERVICES CANADA,data redacted,4900 YONGE ST 11TH FLOOR TORONTO ON M2N 6A6 CA,DEPARTMENT OF PUBLIC WORKS & GOVERNMENT SERVICES CANADA,"4900 YONGE ST 11TH FLOOR TORONTO, ON, M2N 6A6, CA",data redacted
1009,404 MAIN ST  WOODSTOCK N4S 7X5 ON CA,EDLIC-001009,ACTIVE,15-Jul-17,AGRIBRANDS PURINA CANADA INC,data redacted,404 MAIN ST PO BOX 250 WOODSTOCK ON N4S 7X5 CA,AGRIBRANDS PURINA CANADA INC,"404 MAIN ST PO BOX 250 WOODSTOCK, ON, N4S 7X5, CA",data redacted
101,1804 HIGHWAY 2 E  BROCKVILLE K6V 5T1 ON CA,172550,BY REQUEST,12-Dec-14,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"333 PRESTON ST 7TH FLR PRESTON SQUARE TOWER 1 OTTAWA, ON, K1S 5N4, CA",data redacted
10134,320 SUSSEX DR  OTTAWA K1A 0G8 ON CA,EDLIC-010134,CANCELLED_NOT_RENEWED,15-Mar-86,ROYAL CANADIAN MINT ATTN: ACCOUNTS PAYABLE DEPARTMENT,data redacted,320 SUSSEX DR  OTTAWA ON K1A 0G8 CA,ROYAL CANADIAN MINT ATTN: ACCOUNTS PAYABLE DEPARTMENT,"320 SUSSEX DR  OTTAWA, ON, K1A 0G8, CA",data redacted
10145,45 SECOND ST E  CORNWALL K6H 1V5 ON CA,EDLIC-010145,ACTIVE,15-Mar-17,CORNWALL PUBLIC LIBRARY,data redacted,45 SECOND ST E P.O.BOX 939 CORNWALL ON K6H 5V1 CA,CORNWALL PUBLIC LIBRARY,"45 SECOND ST E P.O.BOX 939 CORNWALL, ON, K6H 5V1, CA",data redacted
1018,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001018,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
1019,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001019,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
