elevator_id,location,license_status,license_expiry
10,111 WELLESLEY ST W  TORONTO M7A 1A2 ON CA,ACTIVE,2017-04-28
1009,404 MAIN ST  WOODSTOCK N4S 7X5 ON CA,ACTIVE,2017-07-15
10145,45 SECOND ST E  CORNWALL K6H 1V5 ON CA,ACTIVE,2017-03-15
1018,150 SIMCOE ST  LONDON N6A 4M3 ON CA,ACTIVE,2017-10-15
1019,150 SIMCOE ST  LONDON N6A 4M3 ON CA,ACTIVE,2017-10-15
1020,150 SIMCOE ST  LONDON N6A 4M3 ON CA,ACTIVE,2017-10-15
1021,150 SIMCOE ST  LONDON N6A 4M3 ON CA,ACTIVE,2017-10-15
1022,150 SIMCOE ST  LONDON N6A 4M3 ON CA,ACTIVE,2017-10-15
10246,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,ACTIVE,2017-07-31
10255,193 CHURCH ST  OAKVILLE L6J 1N3 ON CA,ACTIVE,2017-02-04
10264,75 WATERLOO ST GOVERNMENT OF CANADA BLDG STRATFORD N5A 7B2 ON CA,ACTIVE,2017-10-01
10300,WESTERN RD  LONDON N6G 1H1 ON CA,ACTIVE,2017-03-15
10316,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,ACTIVE,2017-01-15
10319,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,ACTIVE,2017-01-15
10333,DEVONSHIRE RD  WALKERVILLE N8Y 2L0 ON CA,ACTIVE,2017-03-15
10357,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,ACTIVE,2017-03-15
10358,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,ACTIVE,2017-03-15
10359,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,ACTIVE,2017-03-15
10371,14 WATER ST EAST  LITTLE CURRENT P0P 1K0 ON CA,ACTIVE,2017-04-26
10396,50 RIDEAU ST  OTTAWA K1N 9J7 ON CA,ACTIVE,2017-03-15
10397,50 RIDEAU ST  OTTAWA K1N 9J7 ON CA,ACTIVE,2017-03-15
10427,901 3RD AVE E  OWEN SOUND N4K 2K7 ON CA,ACTIVE,2017-09-27
10439,228 DUNDAS ST E  BELLEVILLE K8N 1E4 ON CA,ACTIVE,2017-02-07
10457,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,ACTIVE,2017-01-29
10458,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,ACTIVE,2017-01-29
10460,18 FRONT ST N  THOROLD L2V 1X4 ON CA,ACTIVE,2017-03-14
10462,138 WYNDHAM ST N  GUELPH N1H 4E8 ON CA,ACTIVE,2017-03-15
10466,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,ACTIVE,2017-01-29
10467,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,ACTIVE,2017-01-29
1049,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,ACTIVE,2017-02-15
1050,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,ACTIVE,2017-02-15
1051,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,ACTIVE,2017-02-15
